Date,BCOMTR Index,LF98TRUU Index,LUACTRUU Index,LUATTRUU Index,SPXT Index
5/23/1996,149.439,,800.59,774.32,877.19
5/24/1996,149.455,,802.5,775.86,880.46
5/28/1996,148.627,,802.42,775.86,872.32
5/29/1996,147.389,,797.8,772.39,866.96
5/30/1996,146.091,,798.36,772.62,872
5/31/1996,146.185,430.36,794.89,770,868.69
6/3/1996,145.389,,794.81,,866.83
6/4/1996,144.965,,795.61,770.37,873.21
6/5/1996,142.483,,797.76,772.06,881.09
6/6/1996,143.423,,800.94,774.6,874.22
6/7/1996,145.107,,792.83,768.06,874.6
6/10/1996,146.233,,791.71,767.21,873.14
6/11/1996,144.812,,790.6,766.6,871.6
6/12/1996,144.748,,788.93,765.44,869.48
6/13/1996,144.523,,790.04,766.44,868.08
6/14/1996,143.899,,793.46,768.91,865.4
6/17/1996,145.247,,796.01,770.91,864.53
6/18/1996,145.547,,794.73,770.06,860.52
6/19/1996,144.52,,793.38,769.06,860.4
6/20/1996,144.578,,793.22,768.98,860.61
6/21/1996,144.572,,794.42,769.91,866.79
6/24/1996,144.408,,795.53,770.83,869.41
6/25/1996,143.575,,797.2,772.14,868.93
6/26/1996,144.547,,797.68,772.52,863.88
6/27/1996,145.106,,801.33,775.29,869.3
6/28/1996,145.942,433.92,806.55,779.76,872.01
7/1/1996,147.289,,806.4,779.36,878.97
7/2/1996,146.363,,803.98,777.49,876.19
7/3/1996,147.113,,805.11,778.58,874.63
7/5/1996,146.911,,792.52,768.91,855.19
7/8/1996,147.394,,792.93,769.3,849.07
7/9/1996,148.001,,795.1,770.94,852.03
7/10/1996,148.561,,798.09,773.35,853.77
7/11/1996,149.795,,799.78,774.68,840.34
7/12/1996,150.679,,802.28,776.39,841.01
7/15/1996,150.551,,800.99,775.23,819.68
7/16/1996,149.201,,804.38,778.03,817.82
7/17/1996,147.653,,804.14,777.8,825.32
7/18/1996,145.924,,809.71,782.01,837.74
7/19/1996,144.674,,,779.83,831.46
7/22/1996,143.625,,804.95,778.5,825
7/23/1996,145.065,,806.96,780.06,816.03
7/24/1996,144.039,,803.65,777.64,815.77
7/25/1996,144.198,,804.7,778.42,821.65
7/26/1996,142.637,,805.27,778.89,827.81
7/29/1996,143.051,,802.36,776.78,821.43
7/30/1996,143.246,,804.7,778.66,827.13
7/31/1996,143.871,435.94,808.11,781.61,833.48
8/1/1996,145.74,,815.79,786.99,846.77
8/2/1996,146.197,,821.94,791.75,863.06
8/5/1996,145.289,,821.78,791.75,860.19
8/6/1996,145.334,,820.89,791.13,863.02
8/7/1996,145.725,,820.56,790.81,865.46
8/8/1996,146.942,,820,790.42,863.44
8/9/1996,147.189,,823.39,792.92,863.01
8/12/1996,149.153,,824.12,793.63,867.84
8/13/1996,149.607,,819.76,790.42,860.81
8/14/1996,149.287,,820.08,790.74,863.36
8/15/1996,148.663,,818.95,789.49,863.71
8/16/1996,149.583,,821.78,791.75,867.63
8/19/1996,150.807,,820.81,790.97,869.45
8/20/1996,149.737,,820.89,791.13,868.37
8/21/1996,149.232,,819.76,790.35,867.67
8/22/1996,150.241,,819.35,790.03,875.01
8/23/1996,149.988,,815.07,786.75,870.28
8/26/1996,149.951,,811.35,784.02,866.17
8/27/1996,149.626,,812.8,785.11,869.47
8/28/1996,149.202,,812.16,784.72,867.62
8/29/1996,150.41,,809.33,782.61,858.1
8/30/1996,150.853,440.65,805.62,779.98,851.06
9/3/1996,152.07,,808.2,781.6,854.63
9/4/1996,151.016,,806.75,780.36,856.14
9/5/1996,151.261,,804.9,779.03,848.15
9/6/1996,152.414,,806.99,780.67,856.37
9/9/1996,152.088,,809.57,782.77,866.94
9/10/1996,152.926,,807.64,781.29,867.11
9/11/1996,153,,808.04,781.52,871.81
9/12/1996,153.499,,810.62,783.55,877.15
9/13/1996,152.454,,818.19,789.01,889.42
9/16/1996,150.187,,818.92,789.63,894.16
9/17/1996,150.275,,815.45,786.91,892.8
9/18/1996,151.844,,814.81,786.44,890.92
9/19/1996,150.815,,813.36,785.35,892.97
9/20/1996,150.519,,814.16,785.97,898.24
9/23/1996,150.317,,815.86,787.3,897.55
9/24/1996,151.977,,818.52,789.71,896.41
9/25/1996,153.023,,821.58,792.13,896.73
9/26/1996,152.359,,824.16,794.08,897.05
9/27/1996,152.999,,823.03,793.22,897.5
9/30/1996,151.621,451.27,822.7,792.8,898.97
10/1/1996,150.941,,826.08,795.17,901.29
10/2/1996,151.043,,828.22,796.91,907.88
10/3/1996,152.501,,828.39,796.99,906.28
10/4/1996,152.385,,834.72,802.06,917.66
10/7/1996,153.837,,832.91,800.71,920.16
10/8/1996,155.036,,832.5,800.4,916.84
10/9/1996,153.99,,830.61,798.97,911.87
10/10/1996,152.39,,828.14,797.07,909.16
10/11/1996,151.997,,830.85,799.37,917.08
10/14/1996,,,,,920.85
10/15/1996,152.956,,832.5,799.84,919.59
10/16/1996,151.915,,831.92,799.53,922.07
10/17/1996,152.436,,835.3,802.14,925.52
10/18/1996,152.525,,836.12,802.62,930.54
10/21/1996,152.967,,835.63,802.3,929.28
10/22/1996,153.917,,833.73,800.95,924.98
10/23/1996,153.438,,834.39,801.59,925.93
10/24/1996,152.144,,833.98,801.27,919.42
10/25/1996,153.467,,835.71,802.7,917.62
10/28/1996,153.673,,835.71,802.7,912.83
10/29/1996,152.157,,843.2,808.48,918.49
10/30/1996,152.486,,843.44,808.56,917.95
10/31/1996,149.508,454.74,845.16,810.22,923.76
11/1/1996,149.102,,844.49,809.32,921.91
11/4/1996,148.697,,845.84,810.37,925.88
11/5/1996,148.41,,849.39,812.96,935.59
11/6/1996,149.207,,849.06,812.64,949.47
11/7/1996,150.388,,851.42,814.42,953.67
11/8/1996,151.824,,850.92,813.94,957.91
11/11/1996,,,,,959.29
11/12/1996,152.13,,855.14,817.1,956.37
11/13/1996,153.899,,854.72,816.85,958.68
11/14/1996,154.709,,857.26,818.88,964.99
11/15/1996,155.225,,856.24,818.07,967.34
11/18/1996,154.595,,856.07,818.07,966.63
11/19/1996,156.661,,857.68,819.2,973.39
11/20/1996,156.398,,859.71,820.66,975.91
11/21/1996,156.929,,859.12,820.17,974.36
11/22/1996,157.333,,858.52,819.77,982.22
11/25/1996,156.843,,859.71,820.66,993.16
11/26/1996,157.91,,859.79,820.74,991.98
11/27/1996,158.079,,859.71,820.74,990.89
11/29/1996,157.848,463.71,863.22,824.26,993.58
12/2/1996,157.779,,863.32,,993
12/3/1996,158.148,,864.01,824.57,982.15
12/4/1996,158.156,,861.33,822.59,978.24
12/5/1996,160.696,,856.32,818.8,977.41
12/6/1996,159.261,,854.77,817.73,971.21
12/9/1996,157.399,,857.96,820.2,984.63
12/10/1996,156.387,,857.62,819.96,981.65
12/11/1996,155.15,,851.06,815.01,972.85
12/12/1996,156.38,,849.33,813.78,958.15
12/13/1996,158.083,,852.87,816.5,957.26
12/16/1996,160.14,,850.88,815.01,947.23
12/17/1996,159.79,,849.67,814.02,953.88
12/18/1996,160.731,,847.69,812.46,961.16
12/19/1996,161.498,,852.44,816.17,979.88
12/20/1996,161.133,,853.21,816.74,983.99
12/23/1996,160.192,,854.08,817.4,981.42
12/24/1996,161.308,,853.99,817.32,986.86
12/26/1996,160.451,,854.08,817.4,993.16
12/27/1996,159.603,,856.67,819.38,994.85
12/30/1996,158.691,,857.1,819.79,991
12/31/1996,160.001,467.03,851.3,815.77,973.9
1/2/1997,160.741,,846.36,811.84,969.05
1/3/1997,160.677,,847.47,812.74,983.56
1/6/1997,163.236,,846.96,812.33,983.08
1/7/1997,163.211,,845.34,811.27,990.47
1/8/1997,164.059,,844.75,810.86,984.4
1/9/1997,163.84,,847.81,813.14,992.89
1/10/1997,163.727,,843.04,809.39,999.01
1/13/1997,162.816,,843.72,809.88,999.08
1/14/1997,162.944,,848.24,813.39,1011.39
1/15/1997,165.123,,849.34,813.47,1009.22
1/16/1997,163.563,,847.13,811.76,1012.6
1/17/1997,162.861,,848.24,812.57,1021.09
1/20/1997,,,,,1021.79
1/21/1997,161.657,,850.79,814.61,1029.71
1/22/1997,161.975,,849.26,813.55,1034.41
1/23/1997,162.044,,848.15,812.74,1023.02
1/24/1997,162.223,,845.85,811.11,1013.75
1/27/1997,162.949,,844.23,809.96,1006.52
1/28/1997,162.179,,845.94,811.35,1006.6
1/29/1997,162.105,,846.79,812.08,1016.63
1/30/1997,162.29,,848.32,813.31,1032.12
1/31/1997,161.025,471.59,852.5,816.58,1034.74
2/3/1997,160.918,,856.34,819.09,1035.59
2/4/1997,161.077,,857.2,819.67,1039
2/5/1997,161.336,,856.43,819.09,1024.72
2/6/1997,159.676,,856,818.85,1027.5
2/7/1997,157.95,,858.99,821.05,1039.91
2/10/1997,158.398,,859.58,821.46,1034.51
2/11/1997,158.56,,859.5,821.46,1039.99
2/12/1997,158.967,,859.24,821.3,1057.64
2/13/1997,159.424,,864.87,824.4,1069.68
2/14/1997,159.831,,867.68,826.44,1065.31
2/18/1997,160.567,,867.77,826.69,1075.82
2/19/1997,161.855,,866.83,826.12,1070.92
2/20/1997,161.906,,864.1,824.16,1058.2
2/21/1997,162.078,,863.85,824.07,1056.86
2/24/1997,161.133,,862.91,823.42,1068.09
2/25/1997,162.232,,862.82,823.34,1070.5
2/26/1997,163.166,,854.64,817.22,1062.22
2/27/1997,162.968,,853.79,816.56,1048.43
2/28/1997,162.713,479.39,856.07,817.58,1042.85
3/3/1997,163.96,,855.39,816.83,1048.78
3/4/1997,164.957,,853.94,815.76,1043.19
3/5/1997,163.6,,854.71,816.25,1058.1
3/6/1997,165.076,,853.17,815.11,1053.7
3/7/1997,165.78,,856.08,817.23,1062.17
3/10/1997,166.414,,856.68,817.72,1073.64
3/11/1997,166.403,,856.42,817.56,1070.61
3/12/1997,165.072,,855.05,816.58,1061.51
3/13/1997,164.954,,849.4,812.41,1042.32
